Codice;Codici produttore;Descrizione;Descrizione estesa;Marca;Modello;Anno;Categoria - SC Ricambi
03562;6000613538 X1T65072;ANTENNA AMPLIFICATORE ABARTH 124 SPIDER 2018;ANTENNA AMPLIFICATORE (CENTRALINA DERIVAZIONE) 6000613538 COMPATIBILE CON MAZDA MX-5 E CX-3 X1T65072;ABARTH;124 SPIDER GT;2018;Apparecchiature e comandi elettrici
03564;6000615258 6000613080;VETRO FISSO PORTA SINISTRA ABARTH 124 SPIDER;VETRO FISSO PORTA SINISTRA SX 6000615258 6000613080;ABARTH;124 SPIDER GT;2018;Parti carrozzeria e cristalli
03565;6000636395 6000615256;VETRO FISSO PORTA DESTRA ABARTH 124 SPIDER;VETRO FISSO PORTA DESTRA DX 6000636395 6000615256;ABARTH;124 SPIDER GT;2018;Parti carrozzeria e cristalli
03566;6000614556 NA1P67UU0;CENTRALINA SENSORI DI PARCHEGGIO ABARTH 124 SPIDER;CENTRALINA SENSORI DI PARCHEGGIO (PARK ASSIST) 6000614556 6000614917 MAZDA MX-5 ND NA1P67UU0;ABARTH;124 SPIDER GT;2018;Apparecchiature e comandi elettrici
03568;6000613541 N243675U0A;CENTRALINA KEYLESS ABARTH 124 SPIDER;CENTRALINA DI DERIVAZIONE KEYLESS 6000613541 MAZDA MX-5 ND N243675U0A;ABARTH;124 SPIDER GT;2018;Apparecchiature e comandi elettrici
03570;6000615481;FRENO A MANO ABARTH 124 SPIDER;FRENO A MANO ABARTH 124 SPIDER 6000615481 LEVA FRENO DI STAZIONAMENTO CON CUFFIA IN PELLE NERA;ABARTH;124 SPIDER GT;2018;Comando freni e frizione
03572;6000613301;SENSORE PIOGGIA ABARTH 124 SPIDER 2018;SENSORE PIOGGIA 6000613301 (ORIGINALE) 124 SPIDER ABARTH MAZDA MX-5;ABARTH;124 SPIDER GT;2018;Apparecchiature e comandi elettrici
03573;6000613681;PANNELLO POSTERIORE SEDILI ABARTH 124 SPIDER 2018;PANNELLO PORTA OGGETTI RIVESTIMENTO POSTERIORORE SEDILI 6000613681;ABARTH;124 SPIDER GT;2018;Arredamenti interni e sedili
03578;6000615077 6000621737;CONDOTTO DI SCARICO CAPOTE SX ABARTH 124 SPIDER;CONDOTTO DI SCARICO CAPOTE SINISTRO SX 6000615077 6000621737 124 SPIDER ABARTH MAZDA MX-5;ABARTH;124 SPIDER GT;2018;Accessori esterni carrozzeria
03579;6000615733;DIFFUSORE CENTRALE 124 SPIDER;DIFFUSORE CENTRALE 124 SPIDER COMPLETO DI MODANATURA PLANCIA CRUSCOTTO E INTERRUTTORE 6000615733 6000613288 124 SPIDER MAZDA MX-5;ABARTH;124 SPIDER GT;2018;Arredamenti interni e sedili
03580;6000614064;STAFFA CAPOTE SINISTRA SX ABARTH 124 SPIDER 2018;STAFFA DI FISSAGGIO SINISTRA SX CAPOTE 6000614064;ABARTH;124 SPIDER GT;2018;Accessori esterni carrozzeria
03581;6000614062;STAFFA CAPOTE DESTRA DX ABARTH 124 SPIDER 2018;STAFFA DI FISSAGGIO DESTRA DX CAPOTE 6000614062;ABARTH;124 SPIDER GT;2018;Accessori esterni carrozzeria
03582;6000612033;FILTRO VAPORI ABARTH 124 SPIDER;FILTRO VAPORI BENZINA (FILTRO CARBONI ATTIVI) 6000612033 1.4 170CV (124 SPIDER ABARTH MAZDA MX-5);ABARTH;124 SPIDER GT;2018;Aspirazione, iniezione e scarico
03583;50048971;ELETTROVALVOLA MULTIAIR ABARTH 124 SPIDER;ELETTROVALVOLA 1.4 MULTIAIR 50048971 124 SPIDER ABARTH MAZDA MX-5;ABARTH;124 SPIDER GT;2018;Apparecchiature e comandi elettrici
03585;6000621723;CERNIERA DESTRA VANO BAGAGLI ABARTH 124 SPIDER;CERNIERA VANO BAGAGLI DESTRA DX PORTELLONE COFANO POSTERIORE 6000621723 124 SPIDER ABARTH MAZDA MX-5;ABARTH;124 SPIDER GT;2018;Parti carrozzeria e cristalli
03586;6000612900 6000612901;STAFFA SEDILI ABARTH 124 SPIDER;STAFFA SOTTO SEDILE DX E SX (ROLL-BAR) 6000612900 6000612901 124 SPIDER MAZDA MX-5;ABARTH;124 SPIDER GT;2018;Motore e supporti vari
03587;6000614698;RIVESTIMENTO MONTANTE DESTRO DX ABARTH 124 SPIDER;MODANATURA RIVESTIMENTO INTERNO MONTANTE ANTERIORE DESTRO DX 6000614698;ABARTH;124 SPIDER GT;2018;Arredamenti interni e sedili
03588;6000615234;CERNIERA SINISTRA PORTELLONE ABARTH 124 SPIDER;CERNIERA VANO BAGAGLI SINISTRA SX PORTELLONE COFANO POSTERIORE 6000615234 124 SPIDER MAZDA MX-5;ABARTH;124 SPIDER GT;2018;Parti carrozzeria e cristalli
03589;6000635363 NA1S5102X;CENTRALINA FARI ABARTH 124 SPIDER;CENTRALINA (MODULO) CONTROLLO PROIETTORI (FARI) ANTERIORI XENON 6000635363 NA1S5102X;ABARTH;124 SPIDER GT;2018;Apparecchiature e comandi elettrici
03590;6000613697;RIVESTIMENTO INTERNO BAGAGLIAIO ABARTH 124 SPIDER;RIVESTIMENTO INTERNO VANO BAGAGLI 6000613697;ABARTH;124 SPIDER GT;2018;Arredamenti interni e sedili
03591;6000621256 6000636060;RIVESTIMENTO PIANTONE STERZO ABARTH 124;KIT MODANATURA RIPARO PIANTONE STERZO 6000621256 6000636060;ABARTH;124 SPIDER GT;2018;Arredamenti interni e sedili
03593;6000614643;STAFFA FILTRO OLIO ABARTH 124 SPIDER;STAFFA DI  SUPPORTO FILTRO OLIO 6000614643;ABARTH;124 SPIDER GT;2018;Motore e supporti vari
03598;;CABLAGGIO IMPIANTO MOTORE ABARTH 124 SPIDER 2018;CABLAGGIO IMPIANTO MOTORE 1.4 TURBO MULTIAIR 170 CV 16V;ABARTH;124 SPIDER GT;2018;Apparecchiature e comandi elettrici
03600;6000613020 6000613018;CERNIERA PORTA SINISTRA ABARTH 124 SPIDER;KIT CERNIERA PORTA SINISTRA SX SUPERIORE E INFERIORE 6000613020 6000613018;ABARTH;124 SPIDER GT;2018;Parti carrozzeria e cristalli
03601;6000613017 6000613019;CERNIERA PORTA DESTRA ABARTH 124 SPIDER;KIT CERNIERA PORTA DESTRA DX SUPERIORE E INFERIORE 6000613017 6000613019;ABARTH;124 SPIDER GT;2018;Parti carrozzeria e cristalli
03603;6000613028;SERRATURA SINISTRA ABARTH 124 SPIDER;SERRATURA PORTA SINISTRA SX 6000613028;ABARTH;124 SPIDER GT;2018;Parti carrozzeria e cristalli
03605;6000613033;MANIGLIA INTERNA PORTA SINISTRA 124 SPIDER;MANIGLIA INTERNA PORTA SINISTRA SX 6000613033;ABARTH;124 SPIDER GT;2018;Parti carrozzeria e cristalli
03611;6000614688 6000614687;GRIGLIA SOTTOPARABREZZA ESTERNA ABARTH 124 SPIDER;GRIGLIA SOTTOPARABREZZA ESTERNA DX E SX 6000614688 6000614687;ABARTH;124 SPIDER GT;2018;Accessori esterni carrozzeria
03614;6000613025;SERRATURA DESTRA ABARTH 124 SPIDER;SERRATURA PORTA DESTRA DX 6000613025;ABARTH;124 SPIDER GT;2018;Parti carrozzeria e cristalli
03615;6000613032;MANIGLIA INTERNA PORTA DESTRA 124 SPIDER;MANIGLIA INTERNA PORTA DESTRA DX 6000613032;ABARTH;124 SPIDER GT;2018;Parti carrozzeria e cristalli
03616;6000613511 6000613512;BRACCIO TERGICRISTALLO ABARTH 124 SPIDER;KIT BRACCIO TERGICRISTALLO ANTERIORE DESTRO DX E SINISTRO SX 6000613511 6000613512;ABARTH;124 SPIDER GT;2018;Apparecchiature e comandi elettrici
03617;6000613034;MANIGLIA PORTA DESTRA FIAT ABARTH 124 SPIDER;MANIGLIA ESTERNA PORTA DESTRA DX FIAT ABARTH 124 SPIDER 6000613034 6000621969 6000635394 KEYLESS;ABARTH;124 SPIDER GT;2018;Parti carrozzeria e cristalli
03620;6000635460;MANIGLIA PORTA SINISTRA FIAT ABARTH 124 SPIDER;MANIGLIA ESTERNA PORTA SINISTRA SX FIAT ABARTH 124 SPIDER 6000635460 6000635016 6000613099 KEYLESS;ABARTH;124 SPIDER GT;2018;Parti carrozzeria e cristalli
03623;6000621951 6000615257;GUARNIZIONE PORTA DESTRA DX ABARTH 124 SPIDER;GUARNIZIONE TENUTA PERIMETRO PORTA DESTRA DX 6000621951 6000615257;ABARTH;124 SPIDER GT;2018;Accessori esterni carrozzeria
03624;6000621952 6000615259;GUARNIZIONE PORTA SINISTRA SX ABARTH 124 SPIDER;GUARNIZIONE TENUTA PERIMETRO PORTA SINISTRA SX 6000615259 6000621952;ABARTH;124 SPIDER GT;2018;Accessori esterni carrozzeria
03628;6000613002 6000613003;SENSORE AIRBAG SINISTRO 124 SPIDER;SENSORE AIRBAG SINISTRO SX 6000613002 6000613003;ABARTH;124 SPIDER GT;2018;Apparecchiature e comandi elettrici
03631;6000613497;CAVO CABLAGGIO PORTA SINISTRA ABARTH 124 SPIDER;INSIEME CAVI CABLAGGIO IMPIANTO PORTA SINISTRA SX CON SISTEMA KEYLESS 6000613497;ABARTH;124 SPIDER GT;2018;Parti carrozzeria e cristalli
03632;6000613575;CAVO CABLAGGIO PORTA SINISTRA SX ABARTH 124 SPIDER;SECONDO CABLAGGIO IMPIANTO CAVO ELETTRICO PORTA SINISTRA SX CON SISTEMA KEYLESS 6000613575;ABARTH;124 SPIDER GT;2018;Parti carrozzeria e cristalli
